,class,stained_cell_count,light_stain_count
2882,class0,5128,3592
2883,class1,4652,3658
2884,class2,265,5090
2885,class7,333,282
2886,class6,2873,2180
2887,class7,66,306
2888,class0,951,24
2889,class2,1581,1295
2890,class1,2027,4030
2891,class1,2704,1520
2892,class6,2898,1658
2893,class6,3618,3062
2894,class0,5369,1118
2895,class7,3,112
2896,class3,5464,1378
2897,class3,2809,1152
2898,class3,3989,5709
2899,class7,1,25
2900,class1,4472,2419
2901,class3,3906,2045
2902,class6,3256,874
2903,class3,4415,3942
2904,class1,3697,2776
2905,class6,2179,2704
2906,class0,3692,1001
2907,class5,2746,1790
2908,class7,1318,3677
2909,class6,2236,993
2910,class1,3901,2732
2911,class1,3807,3271
2912,class1,4559,3729
2913,class6,1457,2725
2914,class3,4852,4453
2915,class6,4928,6155
2916,class1,3840,3876
2917,class6,2857,2996
2918,class1,3225,3644
2919,class2,174,10420
2920,class4,5960,340
2921,class3,5111,3672
2922,class6,2470,1814
2923,class1,3006,2628
2924,class2,865,2130
2925,class1,4091,2065
2926,class1,3031,3425
2927,class6,1774,7844
2928,class6,2076,5251
2929,class5,607,2071
2930,class6,3495,4151
2931,class2,172,971
2932,class7,13,1682
2933,class6,1687,1595
2934,class7,174,2177
2935,class3,7353,3571
2936,class6,2489,297
2937,class1,2567,1941
2938,class1,3872,2933
2939,class4,172,0
2940,class7,118,787
2941,class6,2976,311
2942,class7,0,167
2943,class4,1372,4799
2944,class6,1728,237
2945,class7,27,118
2946,class7,6,931
2947,class3,4275,7563
2948,class6,2308,274
2949,class7,1776,1201
2950,class5,3246,1844
2951,class6,2247,658
2952,class6,3651,8621
2953,class2,1371,61
2954,class6,2613,986
2955,class1,1236,3302
2956,class7,26,111
2957,class2,1299,1633
2958,class6,2147,247
2959,class6,2533,2290
2960,class0,7956,3537
2961,class7,329,1187
2962,class1,4097,3808
2963,class6,2605,2642
2964,class5,855,2016
2965,class6,3443,3807
2966,class4,3279,3032
2967,class1,3781,3388
2968,class6,2336,2119
2969,class5,6202,6811
2970,class2,1744,89
2971,class2,401,88
2972,class1,3039,6685
2973,class2,1557,2733
2974,class6,1774,8087
2975,class7,351,8
2976,class5,6179,384
2977,class3,4501,8857
2978,class5,4733,586
2979,class6,1604,1959
2980,class2,136,8158
2981,class6,229,0
2982,class3,5149,760
2983,class6,2537,3575
2984,class7,119,134
2985,class6,2390,2967
2986,class1,3252,4361
2987,class4,3713,447
2988,class3,5497,2001
2989,class2,1364,293
2990,class3,4829,3804
2991,class7,219,1
2992,class7,35,148
2993,class1,1514,1751
2994,class6,2846,4666
2995,class0,4043,4031
2996,class6,2844,1654
2997,class5,3699,1711
2998,class2,1207,512
2999,class7,22,167
3000,class6,2137,6445
3001,class6,2203,1667
3002,class5,5667,2972
3003,class7,0,86
3004,class0,5216,461
3005,class7,138,1280
3006,class4,620,0
3007,class7,333,1860
3008,class1,4081,2890
3009,class1,5333,1858
3010,class6,2142,1976
3011,class5,1170,2222
3012,class2,136,132
3013,class6,2842,202
3014,class4,2886,1914
3015,class1,1021,4194
3016,class7,739,2560
3017,class2,1607,1198
3018,class0,6126,2454
3019,class7,2,343
3020,class1,2102,6016
3021,class6,2269,4751
3022,class1,3838,2974
3023,class1,3022,6751
3024,class3,1835,9360
3025,class5,1865,2620
3026,class7,4,1122
3027,class6,2561,2929
3028,class4,5086,125
3029,class1,2936,1626
3030,class7,202,152
3031,class1,2566,3496
3032,class1,1854,6871
3033,class3,3158,3620
3034,class3,5167,810
3035,class3,5087,6130
3036,class6,1482,5011
3037,class2,1494,676
3038,class6,2985,2579
3039,class6,3558,4267
3040,class3,4370,4781
3041,class2,2432,633
3042,class6,1576,473
3043,class7,501,5180
3044,class5,5030,1150
3045,class1,3083,2429
3046,class4,3124,8223
3047,class6,2311,293
3048,class1,3264,5943
3049,class3,4625,4153
3050,class2,1186,201
3051,class7,1033,34
3052,class0,8939,2140
3053,class1,0,24
3054,class3,4695,3102
3055,class0,5051,3383
3056,class6,2233,1335
3057,class6,2111,338
3058,class4,1883,553
3059,class0,4497,147
3060,class2,434,7431
3061,class6,2214,2056
3062,class0,4006,3486
3063,class3,8130,1419
3064,class6,3176,12484
3065,class0,3991,2598
3066,class5,238,2190
3067,class5,3476,461
3068,class7,162,3319
3069,class3,3581,3727
3070,class7,203,467
3071,class1,3693,5093
3072,class3,3536,9554
3073,class3,5838,6706
3074,class3,4,181
3075,class0,4722,993
3076,class2,2237,639
3077,class3,4781,6476
3078,class0,5560,848
3079,class7,171,102
3080,class5,2318,908
3081,class2,255,5765
3082,class1,1910,8500
3083,class4,4162,573
3084,class4,2873,5331
3085,class6,2551,7960
3086,class1,2664,3916
3087,class1,3728,8026
3088,class3,24,58
3089,class6,2042,3515
3090,class3,4253,2402
3091,class0,5409,1358
3092,class1,1829,7634
3093,class2,3287,331
3094,class1,1611,7508
3095,class3,5855,7994
3096,class0,5362,2201
3097,class5,2919,1383
3098,class6,2004,2336
3099,class3,3911,642
3100,class4,5506,105
3101,class0,5745,947
3102,class5,6733,785
3103,class3,3187,3491
3104,class6,1834,1185
3105,class1,5360,7945
3106,class3,3447,6855
3107,class4,3954,838
3108,class5,4312,320
3109,class0,4284,3480
3110,class3,2011,5722
3111,class6,2188,4938
3112,class0,1239,17
3113,class2,2634,798
3114,class7,83,56
3115,class6,1952,2665
3116,class7,62,43
3117,class7,3,47
3118,class3,4391,2204
3119,class0,5966,1880
3120,class6,1909,5190
3121,class6,2286,520
3122,class0,3661,2681
3123,class1,3269,3663
3124,class4,4849,935
3125,class2,302,1494
3126,class1,3588,3386
3127,class0,5282,1554
3128,class6,2584,2859
3129,class1,3557,6993
3130,class2,656,294
3131,class1,3638,2689
3132,class5,4596,1902
3133,class6,3811,4715
3134,class6,3286,630
3135,class7,292,301
3136,class4,3975,90
3137,class7,505,236
3138,class6,1865,97
3139,class1,2742,2046
3140,class2,140,1787
3141,class5,262,3231
3142,class3,3983,4443
3143,class6,3107,1295
3144,class6,524,8
3145,class3,3709,6433
3146,class1,2587,3772
3147,class6,2774,2529
3148,class3,4141,361
3149,class7,31,5854
3150,class7,438,180
3151,class7,368,1984
3152,class2,373,108
3153,class4,3119,1378
3154,class6,3039,409
3155,class3,4540,1973
3156,class6,4007,7092
3157,class2,2311,331
3158,class6,2054,4621
3159,class7,2,23
3160,class3,3885,2722
3161,class5,2449,5796
3162,class6,1943,1250
3163,class1,2858,5499
3164,class1,3396,2691
3165,class6,2474,2641
3166,class1,3784,7232
3167,class1,3873,3082
3168,class0,3800,887
3169,class7,729,545
3170,class1,494,3486
3171,class7,46,208
3172,class5,2096,125
3173,class3,3628,5495
3174,class7,86,12
3175,class4,3420,1066
3176,class3,4498,3976
3177,class3,2351,6241
3178,class3,7203,3201
3179,class1,1342,6113
3180,class5,3391,518
3181,class6,2480,2058
3182,class6,4405,9035
3183,class1,2652,6296
3184,class2,1783,2796
3185,class7,4,73
3186,class3,5022,5678
3187,class6,3003,492
3188,class1,2667,4742
3189,class1,2337,5966
3190,class6,2503,326
3191,class5,3572,859
3192,class1,2711,4609
3193,class6,4734,2742
3194,class1,695,3958
3195,class5,3106,284
3196,class7,638,190
3197,class5,3565,405
3198,class7,241,34
3199,class6,3190,1580
3200,class4,4938,1458
3201,class4,4698,3321
3202,class7,38,530
3203,class2,1147,654
3204,class0,6086,190
3205,class6,2626,3302
3206,class4,5006,2210
3207,class6,2842,3904
3208,class2,5370,3510
3209,class6,3104,1202
3210,class6,2714,654
3211,class1,3246,3324
3212,class3,4552,7924
3213,class7,0,50
3214,class1,6016,4407
3215,class3,6328,7131
3216,class7,42,1133
3217,class7,15,413
3218,class6,2789,408
3219,class6,2565,818
3220,class6,2391,564
3221,class7,90,37
3222,class7,37,662
3223,class6,3094,1868
3224,class5,2556,1182
3225,class7,908,148
3226,class2,1691,2594
3227,class3,4429,3396
3228,class7,175,390
3229,class6,2686,506
3230,class6,2992,8487
3231,class6,2523,817
3232,class1,3353,1997
3233,class6,2680,2180
3234,class3,4413,6237
3235,class2,4416,291
3236,class4,4975,21
3237,class0,6005,1256
3238,class5,1980,653
3239,class6,3516,1247
3240,class1,2336,6045
3241,class0,5403,2472
3242,class6,2744,5408
3243,class3,3572,1594
3244,class2,540,483
3245,class3,4221,1211
3246,class3,4455,2899
3247,class1,3195,4172
3248,class3,3046,6353
3249,class2,2659,409
3250,class1,2869,4066
3251,class1,3378,2476
3252,class2,243,672
3253,class7,612,406
3254,class0,4461,1225
3255,class6,1870,1285
3256,class2,3219,272
3257,class0,4106,4593
3258,class7,11,116
3259,class7,96,98
3260,class4,3378,27
3261,class5,919,1028
3262,class2,207,736
3263,class3,8462,3625
3264,class2,2154,318
3265,class6,2997,533
3266,class0,5429,283
3267,class3,5299,1181
3268,class2,4712,46
3269,class5,4182,360
3270,class1,3147,968
3271,class3,2711,3827
3272,class2,1841,540
3273,class2,1294,452
3274,class4,3398,186
3275,class6,2145,382
3276,class6,2625,647
3277,class6,3268,1384
3278,class7,24,249
3279,class0,7614,208
3280,class6,2313,1249
3281,class3,5262,5452
3282,class3,3237,365
3283,class7,33,2
3284,class6,796,6
3285,class4,4148,3619
3286,class6,2263,250
3287,class2,174,1848
3288,class6,2210,4489
3289,class7,9,1150
3290,class6,2638,266
3291,class1,4923,3468
3292,class1,4080,9949
3293,class4,4133,161
3294,class5,4018,782
3295,class5,3565,607
3296,class6,2157,312
3297,class7,331,2291
3298,class6,2510,1286
3299,class5,4103,678
3300,class7,548,23
3301,class2,3356,1862
3302,class3,6315,11189
3303,class4,2704,66
3304,class4,1861,2652
3305,class7,3,228
3306,class2,206,9110
3307,class6,3165,1809
3308,class1,4592,1170
3309,class1,3884,2813
3310,class6,1903,3918
3311,class1,3593,2664
3312,class1,3207,4903
3313,class1,3772,1934
3314,class7,0,157
3315,class3,4277,2717
3316,class2,638,380
3317,class6,2155,215
3318,class4,5563,242
3319,class0,3135,980
3320,class6,1987,1883
3321,class5,3425,161
3322,class6,3744,1426
3323,class7,226,285
3324,class3,2586,5584
3325,class6,2992,1289
3326,class1,2521,1933
3327,class0,4731,2438
3328,class3,6218,960
3329,class3,3584,4191
3330,class1,2284,3476
3331,class6,2405,847
3332,class1,1234,4498
3333,class2,163,3219
3334,class1,3578,2621
3335,class1,2538,6918
3336,class4,5041,23
3337,class7,43,126
3338,class3,7042,8285
3339,class4,4845,1782
3340,class7,68,306
3341,class3,7029,1027
3342,class5,5385,2197
3343,class1,908,7706
3344,class7,14,137
3345,class0,3585,4403
3346,class5,5443,3099
3347,class0,5078,563
3348,class2,2689,635
3349,class2,1036,551
3350,class7,300,1341
3351,class7,156,541
3352,class1,2611,3753
3353,class6,2854,3627
3354,class5,2996,4308
3355,class7,709,1349
3356,class3,2433,3178
3357,class1,3019,1927
3358,class2,620,3957
3359,class2,385,136
3360,class3,5233,4618
3361,class6,4753,8417
3362,class4,3868,160
3363,class1,2975,1793
3364,class7,532,1705
3365,class3,4026,1992
3366,class3,4554,3519
3367,class7,301,2015
3368,class3,3703,4499
3369,class5,5418,1600
3370,class1,1326,3023
3371,class6,1465,4717
3372,class7,80,472
3373,class7,0,43
3374,class3,7851,1291
3375,class7,26,957
3376,class7,774,1790
3377,class1,3142,4704
3378,class7,228,122
3379,class1,3729,2498
3380,class3,6175,576
3381,class6,3696,2950
3382,class1,3388,3313
3383,class4,3699,12
3384,class5,6912,3576
3385,class7,700,4
3386,class5,3013,753
3387,class2,595,1246
3388,class5,1437,935
3389,class6,2680,3269
3390,class2,373,1355
3391,class5,2935,564
3392,class2,91,75
3393,class6,2075,2933
3394,class1,3159,2906
3395,class5,5762,2091
3396,class2,315,6407
3397,class1,3632,6387
3398,class2,454,2639
3399,class0,4186,1488
3400,class1,2723,3094
3401,class6,3159,3210
3402,class1,2881,3449
3403,class1,3772,4482
3404,class6,2588,4374
3405,class5,1491,448
3406,class6,3344,393
3407,class7,0,294
3408,class2,133,10603
3409,class3,6792,8698
3410,class5,3267,122
3411,class1,3669,1635
3412,class5,4505,6035
3413,class7,108,83
3414,class7,57,210
3415,class2,3617,1508
3416,class3,3666,3789
3417,class1,3345,3542
3418,class6,2255,110
3419,class1,5308,7977
3420,class4,7394,4612
3421,class2,838,5139
3422,class6,3526,2428
3423,class3,2601,924
3424,class3,3288,10187
3425,class3,3712,5465
3426,class0,5095,1908
3427,class4,2927,3163
3428,class3,4633,6170
3429,class5,1776,849
3430,class4,4670,2670
3431,class6,1685,2104
3432,class6,2700,664
3433,class5,2224,2468
3434,class7,615,5505
3435,class5,4246,1663
3436,class7,26,753
3437,class5,2472,587
3438,class1,2682,2290
3439,class5,3200,1522
3440,class1,3911,7849
3441,class5,2751,1037
3442,class7,14,97
3443,class5,3099,3628
3444,class3,4652,3716
3445,class7,104,3004
3446,class4,2918,10718
3447,class2,222,25
3448,class3,4584,2388
3449,class6,2854,247
3450,class6,3327,1121
3451,class4,4394,5351
3452,class3,5117,4130
3453,class3,4746,2110
3454,class1,2979,5839
3455,class3,7249,2752
3456,class5,2001,452
3457,class6,4993,3709
3458,class3,4268,3121
3459,class7,453,9
3460,class5,2208,720
3461,class1,3100,4252
3462,class3,3373,2586
3463,class6,2752,2258
3464,class7,188,1219
3465,class3,2775,6637
3466,class7,7,71
3467,class5,6139,1765
3468,class3,6350,1860
3469,class6,2228,949
3470,class4,5626,1426
3471,class6,1849,235
3472,class7,41,279
3473,class1,3091,2251
3474,class2,501,337
3475,class1,2778,3447
3476,class2,248,543
3477,class7,0,152
3478,class3,2877,3648
3479,class6,1356,178
3480,class1,3552,2236
3481,class7,37,486
3482,class0,871,21
3483,class1,4200,3368
3484,class2,1027,341
3485,class6,3410,739
3486,class1,4209,4596
3487,class4,1380,7748
3488,class3,3594,10720
3489,class6,2689,11829
3490,class3,2596,5735
3491,class2,1412,3361
3492,class3,3996,2733
3493,class3,4595,2807
3494,class5,4044,201
3495,class6,3584,4828
3496,class6,1944,537
3497,class0,3027,672
3498,class4,5318,666
3499,class4,2683,1032
3500,class3,5746,4894
3501,class1,3563,3654
3502,class6,242,9
3503,class7,17,117
3504,class4,4199,1820
3505,class4,2767,90
3506,class6,2958,323
3507,class0,5331,742
3508,class5,6826,676
3509,class6,2419,1010
3510,class4,6938,969
3511,class0,4766,569
3512,class0,3825,666
3513,class1,6285,8261
3514,class1,4014,5205
3515,class5,7229,1155
3516,class7,723,107
3517,class3,4072,8638
3518,class3,2939,1064
3519,class1,5047,2916
3520,class0,4815,2269
3521,class6,2643,395
3522,class6,2917,2041
3523,class2,227,3770
3524,class6,3378,1857
3525,class6,2809,4891
3526,class3,5029,898
3527,class7,0,2468
3528,class5,6396,1610
3529,class6,2001,7287
3530,class3,4119,8071
3531,class6,2631,1172
3532,class4,754,2924
3533,class4,3804,1106
3534,class6,1807,3953
3535,class6,2406,2394
3536,class4,3198,1431
3537,class4,5952,1976
3538,class4,4503,1786
3539,class0,4767,2589
3540,class3,4458,2805
3541,class4,2461,5445
3542,class3,4716,3076
3543,class3,3118,1120
3544,class4,5222,4451
3545,class6,2311,866
3546,class5,6499,3390
3547,class6,1252,60
3548,class1,2281,3489
3549,class3,3133,4715
3550,class3,5475,4807
3551,class4,912,4459
3552,class1,2676,1036
3553,class1,5271,5853
3554,class1,3707,4590
3555,class2,1343,10
3556,class2,1732,832
3557,class7,89,25
3558,class1,2583,1707
3559,class5,2250,338
3560,class4,6713,456
3561,class3,0,338
3562,class3,4192,3570
3563,class6,1893,493
3564,class3,3613,5027
3565,class2,1218,1258
3566,class6,3180,929
3567,class2,664,2905
3568,class0,4076,2825
3569,class1,3527,3147
3570,class3,4499,2386
3571,class3,2459,2455
3572,class7,1,207
3573,class2,461,208
3574,class3,4649,7150
3575,class3,3405,6078
3576,class4,5456,130
3577,class6,2634,439
3578,class3,5448,5898
3579,class6,2581,3492
3580,class7,74,130
3581,class3,2204,2710
3582,class2,1372,195
3583,class7,46,1062
3584,class6,3179,887
3585,class6,3516,2716
3586,class3,3964,1742
3587,class0,4821,1680
3588,class0,3943,778
3589,class1,4350,3065
3590,class6,2807,1691
3591,class6,3061,975
3592,class5,305,273
3593,class6,2528,1097
3594,class3,2658,4609
3595,class7,477,50
3596,class3,4954,1021
3597,class6,1247,1187
3598,class1,4292,6938
3599,class4,1446,26
3600,class6,1759,5307
3601,class7,0,66
3602,class6,2639,1174
3603,class3,5075,7228
3604,class7,0,122
3605,class5,5670,1644
3606,class6,3202,5977
3607,class2,239,137
3608,class6,2209,2028
3609,class6,2880,2334
3610,class2,455,1661
3611,class6,3788,836
3612,class5,1632,991
3613,class6,3204,5300
3614,class2,2883,385
3615,class3,7515,7313
3616,class1,3224,7007
3617,class3,3919,9655
3618,class1,3817,4192
3619,class2,233,4001
3620,class2,214,4085
3621,class3,6425,4033
3622,class4,3255,1238
3623,class7,881,427
3624,class6,2585,1088
3625,class1,3209,5629
3626,class7,0,225
3627,class2,522,122
3628,class4,6182,2784
3629,class0,2089,4126
3630,class6,2565,569
3631,class5,4919,1063
3632,class6,2073,1276
3633,class6,1041,465
3634,class2,401,10
3635,class1,2989,4067
3636,class3,2519,3557
3637,class2,1090,1151
3638,class7,70,598
3639,class3,4753,3084
3640,class0,269,40
3641,class7,877,83
3642,class6,2564,5197
3643,class2,315,3355
3644,class7,20,1400
3645,class6,2999,203
3646,class3,4120,3338
3647,class2,1897,330
3648,class3,5673,1840
3649,class7,1,246
3650,class7,2,383
3651,class4,3,0
3652,class6,2668,3543
3653,class5,6060,105
3654,class3,4794,2618
3655,class7,173,324
3656,class4,3420,56
3657,class1,3749,2184
3658,class3,4903,1813
3659,class6,2904,719
3660,class3,2006,7743
3661,class3,4890,2861
3662,class1,3197,5122
3663,class0,5800,416
3664,class1,2240,5642
3665,class5,3941,323
3666,class6,2428,2621
3667,class4,7087,758
3668,class3,4889,12620
3669,class2,242,1485
3670,class3,3379,2807
3671,class6,2368,1736
3672,class4,2648,8912
3673,class7,14,94
3674,class5,7127,1928
3675,class6,2147,8843
3676,class4,828,70
3677,class6,3604,11602
3678,class1,3707,683
3679,class5,5214,2145
3680,class0,4048,938
3681,class2,1075,2345
3682,class0,7821,1006
3683,class6,3160,964
3684,class3,22,2
3685,class7,233,819
3686,class7,210,126
3687,class3,3618,7917
3688,class4,4873,5655
3689,class6,1355,6533
3690,class1,4539,2148
3691,class3,4582,2580
3692,class6,2965,7523
3693,class6,212,11
3694,class1,3099,5116
3695,class2,1402,151
3696,class1,4077,7660
3697,class1,3017,5703
3698,class7,117,282
3699,class7,553,255
3700,class3,3017,4530
3701,class4,6556,332
3702,class3,6169,6077
3703,class7,48,86
3704,class1,173,2861
3705,class7,105,468
3706,class2,573,474
3707,class7,54,261
3708,class1,3541,2202
3709,class1,3344,1662
3710,class7,8,209
3711,class4,2601,950
3712,class7,25,115
3713,class7,165,415
3714,class3,4385,7464
3715,class6,3049,5844
3716,class6,2505,1051
3717,class6,2906,2528
3718,class2,630,84
3719,class5,6426,435
3720,class5,2527,419
3721,class1,2761,812
3722,class6,1750,329
3723,class7,182,456
3724,class1,3580,5267
3725,class7,94,314
3726,class6,2632,227
3727,class0,6527,1009
3728,class1,3682,3278
3729,class1,3747,5550
3730,class3,4133,6072
3731,class1,3810,5949
3732,class4,4725,2216
3733,class0,5125,1007
3734,class2,22,2
3735,class3,11132,2207
3736,class4,66,0
3737,class4,1695,4043
3738,class3,3934,675
3739,class1,3894,2887
3740,class7,171,28
3741,class4,1795,2187
3742,class7,28,199
3743,class3,2910,6940
3744,class6,2731,2463
3745,class3,5632,3400
3746,class5,2160,2189
3747,class4,5769,7268
3748,class3,3792,2590
3749,class1,4867,1497
3750,class3,5441,2664
3751,class6,2177,3561
3752,class6,2520,4788
3753,class4,6087,87
3754,class1,3226,5108
3755,class3,5574,4124
3756,class2,205,456
3757,class6,2197,327
3758,class7,66,5131
3759,class6,2808,725
3760,class2,520,255
3761,class3,4431,3710
3762,class7,0,1900
3763,class0,5290,1023
3764,class6,2581,3368
3765,class6,2758,1529
3766,class3,3556,2671
3767,class5,3309,804
3768,class5,2343,1289
3769,class3,7870,275
3770,class3,4020,2665
3771,class4,29,0
3772,class7,233,6758
3773,class3,3743,2475
3774,class5,6484,4191
3775,class1,2588,2862
3776,class1,3945,5786
3777,class1,3034,3077
3778,class6,2605,5468
3779,class6,2342,8809
3780,class7,56,5264
3781,class1,1815,5411
3782,class2,589,2193
3783,class0,5002,4393
3784,class1,3702,1515
3785,class3,122,1475
3786,class6,2980,7216
3787,class2,1810,3
3788,class0,5957,3264
3789,class5,1973,434
3790,class4,4154,611
3791,class7,433,781
3792,class1,2937,1944
3793,class6,3312,4162
3794,class6,3707,783
3795,class7,161,463
3796,class7,1371,1063
3797,class1,2917,1896
3798,class1,2649,3808
3799,class3,4115,5839
3800,class7,973,44
3801,class7,146,437
3802,class6,3211,1357
3803,class1,3361,3337
3804,class5,5903,1665
3805,class1,3613,7508
3806,class5,5633,1018
3807,class7,360,2626
3808,class2,120,36
3809,class1,2665,4965
3810,class5,2239,912
3811,class1,3724,1206
3812,class6,1557,36
3813,class0,4905,910
3814,class7,202,1043
3815,class4,5658,108
3816,class6,2460,3415
3817,class2,159,2213
3818,class1,1,203
3819,class6,3232,1748
3820,class2,1289,471
3821,class5,6171,1690
3822,class6,3302,3187
3823,class6,2166,1410
3824,class5,6666,990
3825,class7,20,1325
3826,class1,2633,2780
3827,class6,3447,882
3828,class7,1817,868
3829,class7,817,12
3830,class7,53,250
3831,class5,3273,89
3832,class2,2864,1817
3833,class4,4828,674
3834,class3,5198,795
3835,class6,4252,489
3836,class6,3085,511
3837,class1,3025,1894
3838,class4,3350,3934
3839,class1,3245,3088
3840,class4,6326,167
3841,class2,218,2002
3842,class0,5394,975
3843,class1,6200,3874
3844,class1,3209,3725
3845,class3,3373,3281
3846,class3,4595,6639
3847,class0,5850,1796
3848,class0,6844,1254
3849,class0,4123,1433
3850,class3,4210,2100
3851,class1,3964,5248
3852,class1,3358,3561
3853,class3,2534,2830
3854,class4,4319,690
3855,class7,152,192
3856,class7,37,76
3857,class6,1790,3159
3858,class6,2840,1482
3859,class6,2910,274
3860,class7,2,364
3861,class2,269,843
3862,class0,5995,1434
3863,class1,3057,4078
3864,class6,582,1555
3865,class1,3246,3677
3866,class0,6267,4515
3867,class1,5244,4110
3868,class6,2918,1428
3869,class1,4316,3348
3870,class2,268,869
3871,class5,6144,5318
3872,class4,4127,52
3873,class4,5547,1848
3874,class6,2079,2368
3875,class3,8239,2843
3876,class6,2362,1419
3877,class4,4107,1253
3878,class2,344,6294
3879,class4,4137,10
3880,class0,5446,1122
3881,class7,5,80
3882,class1,3159,5130
3883,class3,4470,1915
3884,class2,334,5583
3885,class1,720,5680
3886,class2,357,515
3887,class1,4113,3355
3888,class0,6936,2632
3889,class6,2960,495
3890,class7,38,268
3891,class6,2691,735
3892,class3,6278,9973
3893,class3,0,1492
3894,class1,3999,9081
3895,class0,3436,1408
3896,class6,2860,9713
3897,class6,3416,19266
3898,class5,2993,326
3899,class1,3221,4257
3900,class1,2571,4739
3901,class6,3119,342
3902,class5,4533,572
3903,class4,5958,4810
3904,class3,5780,7228
3905,class1,3504,4336
3906,class6,3646,10381
3907,class7,529,221
3908,class6,2864,1066
3909,class4,3564,1029
3910,class3,4283,1854
3911,class5,5406,949
3912,class6,4183,3006
3913,class6,3138,439
3914,class3,4477,376
3915,class1,3739,8688
3916,class5,762,1231
3917,class1,2624,3136
3918,class2,844,604
3919,class6,3200,2480
3920,class3,3963,2774
3921,class4,5632,337
3922,class4,76,0
3923,class2,625,4
3924,class1,2876,1311
3925,class3,3914,8260
3926,class0,4745,2417
3927,class0,4606,851
3928,class1,4198,3777
3929,class5,3449,640
3930,class3,6883,8792
3931,class4,4749,1992
3932,class6,3248,906
3933,class6,3375,375
3934,class2,1184,792
3935,class1,3513,3606
3936,class0,4076,3700
3937,class6,3112,624
3938,class3,3836,3600
3939,class6,2638,1893
3940,class1,2667,1590
3941,class4,2887,2867
3942,class2,723,2298
3943,class7,159,800
3944,class3,4944,2190
3945,class7,446,2726
3946,class6,2465,6564
3947,class2,404,1413
3948,class3,4449,3615
3949,class7,97,764
3950,class3,4606,1916
3951,class3,2766,6823
3952,class1,3408,4656
3953,class5,3410,690
3954,class5,7485,139
3955,class3,6105,7839
3956,class3,4849,2319
3957,class6,3503,5387
3958,class3,5632,2214
3959,class1,3455,3592
3960,class7,220,82
3961,class3,27,1
3962,class1,2312,2898
3963,class2,1078,208
3964,class0,5185,1406
3965,class7,175,157
3966,class6,2673,414
3967,class3,1491,1551
3968,class1,3565,3426
3969,class4,3553,1832
3970,class3,4110,2873
3971,class6,2093,6508
3972,class2,309,2349
3973,class6,2848,337
3974,class7,30,256
3975,class6,2677,5501
3976,class7,752,2142
3977,class1,4073,4056
3978,class1,2776,1135
3979,class3,5594,1108
3980,class7,0,64
3981,class1,3071,3095
3982,class6,3776,252
3983,class5,3054,199
3984,class3,2292,2221
3985,class3,5183,9003
3986,class1,4579,2608
3987,class3,3605,9995
3988,class5,4691,665
3989,class1,3066,5494
3990,class4,5000,643
3991,class1,3301,6644
3992,class0,36,1
3993,class6,1187,6637
3994,class6,2082,380
3995,class3,6112,2601
3996,class0,5398,1258
3997,class5,2139,1102
3998,class3,5908,2139
3999,class5,6089,1143
4000,class3,7990,299
4001,class1,3011,8516
4002,class5,3270,821
4003,class1,4426,626
4004,class3,3480,1929
4005,class6,2457,594
4006,class5,3924,1107
4007,class1,3741,15338
4008,class4,1276,7815
4009,class3,4298,3769
4010,class7,0,365
4011,class6,2094,4457
4012,class4,3880,2249
4013,class6,4068,5061
4014,class3,4530,4520
4015,class5,4081,1851
4016,class7,0,358
4017,class6,2693,599
4018,class3,3528,2136
4019,class2,391,1574
4020,class3,3317,5880
4021,class1,4004,3843
4022,class6,2509,5374
4023,class4,4838,126
4024,class1,3792,4607
4025,class7,492,109
4026,class6,4287,700
4027,class1,2376,3922
4028,class5,2400,611
4029,class1,3690,2149
4030,class7,181,51
4031,class7,23,52
4032,class6,2314,2379
4033,class2,3587,417
4034,class3,5289,10711
4035,class3,3739,4325
4036,class3,4583,2708
4037,class2,1183,231
4038,class1,2496,2526
4039,class6,1994,4058
4040,class3,4608,1980
4041,class6,3362,1176
4042,class5,5643,1326
4043,class1,2614,1267
4044,class3,6210,2097
4045,class6,1315,120
4046,class6,2474,247
4047,class6,1316,673
4048,class7,284,191
4049,class1,3552,8327
4050,class6,3649,3310
4051,class4,4950,741
4052,class1,3227,10845
4053,class5,1996,1817
4054,class3,5588,1432
4055,class0,3996,1053
4056,class7,3,350
4057,class3,5364,5261
4058,class1,2566,2960
4059,class0,3455,3821
4060,class1,2364,4156
4061,class1,4165,3724
4062,class5,5795,116
4063,class4,2050,702
4064,class7,13,295
4065,class4,5469,427
4066,class6,3701,645
4067,class3,4786,2471
4068,class6,3973,2005
4069,class3,10828,5666
4070,class7,23,417
4071,class3,5176,1286
4072,class7,15,8
4073,class2,398,204
4074,class2,817,3398
4075,class6,2872,339
4076,class4,4326,159
4077,class2,181,125
4078,class4,7700,2164
4079,class4,5663,97
4080,class7,60,1072
4081,class1,1955,5353
4082,class4,4249,1645
4083,class0,5933,2895
4084,class3,5097,1625
4085,class3,640,832
4086,class3,5611,363
4087,class6,2371,623
4088,class2,3433,2143
4089,class3,2814,4137
4090,class2,177,1010
4091,class4,5481,2661
4092,class7,68,283
4093,class4,7122,164
4094,class1,1772,3589
4095,class3,5246,2431
4096,class1,3414,4130
4097,class0,6339,460
4098,class7,0,0
4099,class3,8661,6419
4100,class7,62,360
4101,class6,2612,5098
4102,class3,5181,1625
4103,class0,4424,2950
4104,class6,2921,435
4105,class3,7191,3688
